,id_a,distancia,split_number,bf
498,BN168880,1,4,xbf
499,BN426199,1,4,xbf
500,BN410981,1,4,xbf
501,BN299194,1,4,xbf
502,BN5491,1,4,xbf
503,BN372936,1,4,xbf
504,AK93050,1,4,xbf
505,BN472445,4,4,xbf
506,BN438845,1,4,xbf
507,BN402565,1,4,xbf
508,BN364853,1,4,xbf
509,BN464898,1,4,xbf
510,BN367718,1,4,xbf
511,BN397096,1,4,xbf
512,BN390213,4,4,xbf
513,BN290579,1,4,xbf
514,BN18742,1,4,xbf
515,BN123352,1,4,xbf
516,AF25802,4,4,xbf
517,BN141373,1,4,xbf
518,DS55628,1,4,xbf
519,BN324246,1,4,xbf
520,BN332084,1,4,xbf
521,BN442051,1,4,xbf
522,BN213508,1,4,xbf
523,BN428974,1,4,xbf
524,BN326939,1,4,xbf
525,BN379944,1,4,xbf
526,BN400394,1,4,xbf
527,BN33644,1,4,xbf
528,BN481577,1,4,xbf
529,BN149569,1,4,xbf
530,BN431739,4,4,xbf
531,BN310841,1,4,xbf
532,BN450962,1,4,xbf
533,BN38057,1,4,xbf
534,BN257937,1,4,xbf
535,BN38691,4,4,xbf
536,BN349566,1,4,xbf
537,BN84693,1,4,xbf
538,BN368018,1,4,xbf
539,BN383643,1,4,xbf
540,BN249162,1,4,xbf
541,BN386286,1,4,xbf
542,BN368203,1,4,xbf
543,BN215914,1,4,xbf
544,BN323362,1,4,xbf
545,BN109701,1,4,xbf
546,BN465709,1,4,xbf
547,BN215960,1,4,xbf
548,CW586897,1,4,xbf
549,BN379317,1,4,xbf
550,BN295849,1,4,xbf
551,BN396895,1,4,xbf
552,BN58515,1,4,xbf
553,BN288662,1,4,xbf
554,BN192017,1,4,xbf
555,BN458577,1,4,xbf
556,DN118275,1,4,xbf
557,BN401685,1,4,xbf
558,BN68262,1,4,xbf
559,BY206751,1,4,xbf
560,BN341865,1,4,xbf
561,BP5669,1,4,xbf
562,BP47509,1,4,xbf
563,BP11064,1,4,xbf
564,BP39601,1,4,xbf
565,BP33096,1,4,xbf
566,BP43742,1,4,xbf
567,BP48812,1,4,xbf
568,BR141128,1,4,xbf
569,BR188845,1,4,xbf
570,BR115155,4,4,xbf
571,BR129032,1,4,xbf
572,BR3623,1,4,xbf
573,BR158132,1,4,xbf
574,BR158454,1,4,xbf
575,BR144607,1,4,xbf
576,BR7003,1,4,xbf
577,BR203441,1,4,xbf
578,BR103751,1,4,xbf
579,BR140012,1,4,xbf
580,BR118474,1,4,xbf
581,BR172547,4,4,xbf
582,BR131163,1,4,xbf
583,BR64988,1,4,xbf
584,BR14451,1,4,xbf
585,BR101083,1,4,xbf
586,BR120847,1,4,xbf
587,BR18908,1,4,xbf
588,BR159041,1,4,xbf
589,BR165240,1,4,xbf
590,BR24218,1,4,xbf
591,BR168193,1,4,xbf
592,BR171832,1,4,xbf
593,BR153450,1,4,xbf
594,BR25792,1,4,xbf
595,BR161541,1,4,xbf
596,BR25976,1,4,xbf
597,BR168681,1,4,xbf
598,BR175076,1,4,xbf
599,BR89282,1,4,xbf
600,BR112392,1,4,xbf
601,CN68917,1,4,xbf
602,BR32165,1,4,xbf
603,BR150023,1,4,xbf
604,BR76224,1,4,xbf
605,BR173277,1,4,xbf
606,BR91043,1,4,xbf
607,BR167914,1,4,xbf
608,BS12552,1,4,xbf
609,BS2345,1,4,xbf
610,BS11236,1,4,xbf
611,BS7082,1,4,xbf
612,BS8814,1,4,xbf
613,BS12506,1,4,xbf
614,BT9971,1,4,xbf
615,BW3555,1,4,xbf
616,BW5192,1,4,xbf
617,EG2312,1,4,xbf
618,BW3133,1,4,xbf
619,BW48641,1,4,xbf
620,BW54888,1,4,xbf
621,BW43838,1,4,xbf
622,BW49573,1,4,xbf
623,BW37721,1,4,xbf
624,BX16273,1,4,xbf
625,BY268065,1,4,xbf
626,BY647378,1,4,xbf
627,BY7324,1,4,xbf
628,BY520669,1,4,xbf
629,BY536106,1,4,xbf
630,BY346731,1,4,xbf
631,BY278135,1,4,xbf
632,BY321790,1,4,xbf
633,BY506315,1,4,xbf
634,BY368647,1,4,xbf
635,BY399753,1,4,xbf
636,BY475252,1,4,xbf
637,BY624800,1,4,xbf
638,BY501364,1,4,xbf
639,BY526441,1,4,xbf
640,BY487357,1,4,xbf
641,BY510500,1,4,xbf
642,BY484820,1,4,xbf
643,BY65571,1,4,xbf
644,BY370815,1,4,xbf
645,BY386344,1,4,xbf
646,BY327538,1,4,xbf
647,BY488030,1,4,xbf
648,BY43879,1,4,xbf
649,BY375403,1,4,xbf
650,BY339901,1,4,xbf
651,BY576381,1,4,xbf
652,CY20570,1,4,xbf
653,BY484880,1,4,xbf
654,BY515642,1,4,xbf
655,BY66748,1,4,xbf
656,BY508849,1,4,xbf
657,BY73867,1,4,xbf
658,BY526651,1,4,xbf
659,BY271009,1,4,xbf
660,BY80397,1,4,xbf
661,BY633422,1,4,xbf
662,BY406542,1,4,xbf
663,BY480902,1,4,xbf
664,BY553301,1,4,xbf
665,BY304146,1,4,xbf
666,BY563186,1,4,xbf
667,BY398436,1,4,xbf
668,BY523954,1,4,xbf
669,BY486193,1,4,xbf
670,BY527797,1,4,xbf
671,BY114669,1,4,xbf
672,BY513850,1,4,xbf
673,BY386031,1,4,xbf
674,BY588969,1,4,xbf
675,BY353078,1,4,xbf
676,BY535840,1,4,xbf
677,BY293095,1,4,xbf
678,BY386663,1,4,xbf
679,BY307179,1,4,xbf
680,BY528290,4,4,xbf
681,BY616914,4,4,xbf
682,BY364341,1,4,xbf
683,BY152778,1,4,xbf
684,BY327303,1,4,xbf
685,BY652888,1,4,xbf
686,BY487510,1,4,xbf
687,BY544639,1,4,xbf
688,BY364038,1,4,xbf
689,BY569365,1,4,xbf
690,BY372754,1,4,xbf
691,BY464842,1,4,xbf
692,BY413636,1,4,xbf
693,BY171512,1,4,xbf
694,BY577468,1,4,xbf
695,BY567230,1,4,xbf
696,BY173589,1,4,xbf
697,BY569566,1,4,xbf
698,BY522881,1,4,xbf
699,BY368451,1,4,xbf
700,BY415906,1,4,xbf
701,BY494204,1,4,xbf
702,BY572186,1,4,xbf
703,BY532873,1,4,xbf
704,BY380533,1,4,xbf
705,CW433160,1,4,xbf
706,BY452917,1,4,xbf
707,BY518111,4,4,xbf
708,BY606112,1,4,xbf
709,BY332577,1,4,xbf
710,BY265322,1,4,xbf
711,BY409648,1,4,xbf
712,BY205971,1,4,xbf
713,BY413114,1,4,xbf
714,BY188080,1,4,xbf
715,BY632048,1,4,xbf
716,AL210909,4,4,xbf
717,AK55337,2,4,xbf
718,BY564642,1,4,xbf
719,BZ3707,1,4,xbf
720,BZ9556,1,4,xbf
721,BZ53525,1,4,xbf
722,BE202234,1,4,xbf
723,BZ28357,1,4,xbf
724,BZ54137,1,4,xbf
725,EH141218,1,4,xbf
726,BZ29111,1,4,xbf
727,BZ44586,1,4,xbf
728,CA86536,1,4,xbf
729,CA46097,1,4,xbf
730,EH684318,1,4,xbf
731,CA74781,1,4,xbf
732,CA7368,1,4,xbf
733,CA87646,1,4,xbf
734,CA103753,1,4,xbf
735,CA96399,1,4,xbf
736,CA82068,1,4,xbf
737,CA95249,1,4,xbf
738,CA21356,1,4,xbf
739,BE251234,1,4,xbf
740,CA14581,1,4,xbf
741,CA108267,1,4,xbf
742,CA77283,1,4,xbf
743,CA29871,1,4,xbf
744,CA77101,1,4,xbf
745,CA83284,1,4,xbf
746,CA87551,1,4,xbf
747,CA81330,1,4,xbf
748,CA90297,1,4,xbf
749,CB25236,1,4,xbf
750,CB5222,1,4,xbf
751,CB19786,1,4,xbf
752,AK77330,1,4,xbf
753,CB51909,1,4,xbf
754,CB52215,1,4,xbf
755,CB55768,1,4,xbf
756,CB13112,1,4,xbf
757,CB17226,1,4,xbf
758,DS69644,1,4,xbf
759,CB77083,1,4,xbf
760,CB35060,1,4,xbf
761,CB72262,1,4,xbf
762,CC119700,1,4,xbf
763,CC83137,1,4,xbf
764,CC25924,1,4,xbf
765,CC119632,1,4,xbf
766,CC96724,1,4,xbf
767,CC11372,1,4,xbf
768,CC123092,1,4,xbf
769,AL105477,1,4,xbf
770,CC92601,1,4,xbf
771,CC72644,1,4,xbf
772,CC63226,1,4,xbf
773,CC114944,1,4,xbf
774,AL131190,1,4,xbf
775,CC55095,1,4,xbf
776,CC85623,1,4,xbf
777,CC114508,1,4,xbf
778,AL141141,1,4,xbf
779,CC41392,1,4,xbf
780,CC121049,1,4,xbf
